uid;designation;ingredients
a0492df6-9c76-4303-8813-65ec5ccbfa70;Concentré liquide Asian en bouteille 980 ml CHEF;Eau, maltodextrine, sel, arômes, sucre, arôme naturel de citronnelle, amidon modifié, ail en poudre, épices (combava, curcuma), extraits d'épices (gingembre, poivre), stabilisant (gomme xanthane).
d183e914-db2f-4e2f-863a-a3b2d054c0b8;Pain burger curry 80 g CREATIV BURGER;Farine de blé T65, eau, levure, vinaigre de cidre, huile de colza, assaisonnement poudre de curry, sel, acide ascorbique, émulsifiant : E471.
ab48a1ed-7a3d-4686-bb6d-ab4f367cada8;Macaroni en sachet 500 g PANZANI;"- 100% Semoule de BLE dur de qualité supérieure
- Contient du gluten
Si le numéro de lot contient la lettre N : peu contenir de l'oeuf"
528d4be3-425c-4f8b-8a87-12f1bc645ddd;Fève de Tonka en sachet 100 g COMPTOIR COLONIAL;"fève de tonka (graines ridées de 25 à 50mm de long)
Taux de coumarine compris entre 1 et 3,5 %"
51b38427-b2ea-4c56-93e8-4242361ef31b;Caviar d'aubergine en pot 500 g PUGET RESTAURATION;Aubergine 60,5% (aubergine, huile de tournesol), eau, oignon, huile de tournesol, jus de citron, concentré de tomate, huile d'olive vierge extra (2%), ail, sel, persil, basilic, poivre, thym, romarin.
e4c8c61f-a401-4384-8128-181447e5bdd2;Confitures assorties en bocaux 30 g BONNE MAMAN;"Confiture de myrtilles et de cassis
fruits (myrtilles 41%, cassis 9%), sucre, sucre roux de canne, jus de citrons concentré, gélifiant : pectine de fruits.
Confiture de fraises et de groseilles
fruits (fraises 27 %, groseilles 23 %), sucre, sucre roux de canne, jus de citrons concentré, gélifiant : pectine de fruits.
Confiture d'abricots et de pêches
fruits (abricots 34%, pêches 16%), sucre, sucre roux de canne, jus de citrons concentré, gélifiant : pectine de fruits.
Marmelade d'oranges douces et de mandarines
fruits (oranges douces 37%, mandarines 3%), sucre, sucre roux de canne, jus de citrons
concentré, gélifiant : pectine de fruits."
50766d10-6135-4958-b743-1cddfcb7c230;Spécialité pomme saveur biscuitée en boîte 5/1 VALADE EN CORREZE;Pommes 95%, sirop de glucose-fructose, arôme, antioxydant: acide ascorbique.
bb9f3995-57b3-429d-b075-2d81a90e406f;Coco Pops en sachet 500 g KELLOGG'S;Riz, Sucre, Cacao maigre en poudre, Maltodextrine, Pâte de cacao, Sel, Arôme de malt d'orge, Arôme, Arôme naturel.
52bf5f5a-79f2-4652-8eac-2b80c697269b;PUR JUS ORANGE DE MÉDITERRANÉE 3L;jus d'orange issu de l'agriculture biologique.
04235024-80f3-46c2-bad0-aae0d5fab024;Persil feuilles en boîte 80 g LA CASE AUX EPICES;Persil
93a5d344-4ab0-48de-bbb0-fec8117d07a2;Chips saveur poulet braisé en sachet 25 g SIBELL;"Pommes de terre, huile de tournesol (35%), assaisonnement poulet (maltodextrine, farine de blé, dextrose, extrait de levure, arome, sel, oignon déshydraté, viande et graisse de poulet, ail, colorant : extrait de paprika E160c, Antioxydant : extrait de romarin E392), sel
Traces éventuelles de moutarde et lait"
440ca0b4-1c79-433f-ac8d-6e2ae77d3288;Pâte à tartiner noisette en bouteille squeezer 1 kg CREPIOTE;"Sucre, huiles végétales ( Colza), noisettes (13%), poudre de cacao maigre (7%), lait écrémé en poudre , lactosérum en poudre, lactose. Emulsifiant lécithine de tournesol. Arôme : vanilline
Allergènes : Le produit peut contenir traces éventuelles de soja arachide et autre fruits a coque."
7b9cf3b3-bf4b-408c-b8c8-807a09745979;Sauce Sweet chili en flacon souple 875 ml HEINZ;Sucre, eau, vinaigre d'alcool, purée de tomates mi-réduite, ail, amidon de maïs modifié, poivrons, piment 1,5%, sel, épice
b638ab96-427c-4d5f-9a19-74684eec3b8e;PRÉPARATION CULINAIRE À BASE D'HUILE D'OLIVE ET D'ARÔME TRUFFE BLANCHE;Huile d'olive vierge extra 99,5%, Arôme
8bb101c0-8c6e-4665-8310-1a2d13257b2e;Huile pimentée spicy'piz en dose 3 ml SAVEURS ET SAUCES;Huile de colza, extrait naturel de piment de Cayenne
54f40033-f9cf-411c-81a5-11974f6715aa;Harissa en seau de 3 kg PROVENCE OLIVES;Piment rouge fort équeuté* (85%), cumin, ail moulu (3%), eau, arome naturel d'ail, sel, sorbate de potassium. (* présence de sulfites)
2405356e-ecc9-404f-8279-16fddf168b73;1883 VANILLE 100 CL;SUCRE DE CANNE, EAU, AROME, COLORANT : E 150a, AROME NATUREL DE VANILLE.
c57be8e4-30e0-417b-90fa-b60d9f9ece48;Baie des Batak en sachet 250 g TERRE EXOTIQUE;Baie des Batak
6622442d-d88f-4b90-9414-b91c9e8e5296;Filet de maquereau à la tomate en poche 4/4 FURIC SAUPIQUET;Filets de maquereaux (61 %), eau, concentré de tomate (15%), huile de tournseol, vinaigre d'alcool, vinaigre de vin blanc, sel, vin blanc, épaississant : gomme xanthane, arômes.
507b428e-e99d-464b-b9d3-50629efe4355;Farine de blé type 00 pour pizza en sachet 1 kg SOUFFLET;Mélange de Blés de pays recommandés par la meunerie .
545e8bc5-15fd-458a-8c9f-b18faecc2016;GOURDES AU CHOCOLAT P'TITS TOQUES YABON 4X80G;"Lait entier (88%) ; sucre ; poudre de chocolat (3.1%) (sucre, poudre de cacao) ; amidon modifié de manioc ; chocolat au lait (0,57%) (sucre, pâte de cacao, poudre de lait entier, beurre de cacao, poudre de lait écrémé) ; arôme naturel ; épaississants : gomme gellane, gomme guar ; correcteur d'acidité : citrate tri-sodique ; concentré de minéraux du lait ; vitamine D3."
b45b3942-accd-4115-8f1f-736dbd42a35a;CHAMONIX*2 25G ;Sirop de glucose-fructose, farine de BLÉ , sucre, purée d'orange 5,4 %, jus d'orange concentré 1,5 % (équivalent jus d'orange 8 %), huile de colza, jaunes d' OEUFS en poudre, stabilisant (glycérol), poudre à lever (carbonate acide d'ammonium), gélifiant (pectines), acidifiant (acide citrique), arômes, colorant (rocou), conservateur (sorbate de potassium). PEUT CONTENIR LAIT, FRUITS À COQUE, SÉSAME.
6c07fd47-116d-4531-a164-d4f4040f212e;Thon Albacore en morceaux au naturel en poche 1,95 kg LA PULPE;Thon Albacore (92%), eau (7%), sel (1%)
ca711137-4644-45b7-9928-456a09d9746a;THE BISCUITS POCKET 22 GR;Farine de BLÉ 67 %, sucre, huile de palme, sirop de glucose-fructose, LAIT écrémé en poudre, lactosérum en poudre (de LAIT), arôme fleur d'oranger, fibres de BLÉ, sel, poudre à lever (carbonates de sodium, carbonates d'ammonium), émulsifiant (lécithines de SOJA), arômes.
